Datetime,Company,Low,Open,High,Close,Volume
2024-05-10 13:45:00,MSFT,413.62,413.88,414.03,414.03,54490
2024-05-10 13:50:00,MSFT,413.8,414.03,414.25,414.14,98725
2024-05-10 13:55:00,MSFT,414.09,414.12,414.46,414.46,75540
2024-05-10 14:00:00,MSFT,414.07,414.445,414.59,414.08,78710
2024-05-10 14:05:00,MSFT,414.03,414.1,414.58,414.58,61943
2024-05-10 14:10:00,MSFT,414.49,414.56,414.85,414.755,112742
2024-05-10 14:15:00,MSFT,414.52,414.722,414.81,414.65,62918
2024-05-10 14:20:00,MSFT,414.46,414.68,414.7,414.67,53052
2024-05-10 14:25:00,MSFT,414.491,414.63,414.71,414.68,49586
2024-05-10 14:30:00,MSFT,414.27,414.69,414.69,414.362,78313
2024-05-10 14:35:00,MSFT,414.12,414.312,414.37,414.2,68666
